claim_id,claim_date,policy_id,inception_date,expiration_date,company_id,claim_amount
1,2016-10-03,1001,2016-01-01,2016-12-31,8229,3206.67
2,2016-11-02,1007,2016-10-01,2017-10-01,9862,3685.00
3,2016-09-16,1011,2016-01-01,2016-12-31,18062,1574.95
4,2016-10-16,1013,2016-07-01,2017-07-01,27268,3809.39
5,2017-07-28,1021,2016-08-01,2017-08-01,18468,6488.54
6,2016-11-19,1036,2016-01-01,2016-12-31,7994,2207.08
7,2017-06-03,1043,2016-07-01,2017-07-01,4746,1824.12
8,2017-03-10,1053,2016-07-01,2017-07-01,11609,2989.24
9,2016-09-04,1056,2016-07-01,2017-07-01,16307,2528.20
10,2016-03-06,1066,2016-01-01,2016-12-31,24233,3756.85
11,2017-06-01,1071,2016-07-01,2017-07-01,20459,12898.50
12,2016-12-13,1076,2016-02-01,2017-01-31,7782,3130.70
13,2016-11-25,1079,2016-01-01,2016-12-31,4058,843.27
14,2017-06-27,1098,2016-07-01,2017-07-01,6795,2328.63
15,2016-07-11,1099,2016-01-01,2016-12-31,4839,961.00
16,2016-10-29,1103,2016-01-01,2016-12-31,6189,1645.15
17,2017-02-21,1105,2016-03-01,2017-03-01,24120,12636.87
18,2016-07-31,1110,2016-07-01,2017-07-01,17898,1657.12
19,2017-05-10,1111,2016-07-01,2017-07-01,11393,2681.69
20,2017-02-13,1123,2016-07-01,2017-07-01,8353,3737.39
21,2017-08-07,1162,2016-11-01,2017-11-01,16296,1634.35
22,2016-04-03,1178,2016-03-01,2017-03-01,10457,463.38
23,2017-06-17,1183,2016-07-01,2017-07-01,20615,2553.07
24,2016-08-24,1191,2016-01-01,2016-12-31,18545,1675.42
25,2017-03-08,1203,2016-08-01,2017-08-01,2044,3088.87
26,2017-04-27,1207,2016-10-01,2017-10-01,12230,2289.97
27,2017-04-13,1209,2016-07-01,2017-07-01,19972,3010.97
28,2017-10-27,1216,2016-11-01,2017-11-01,26825,1608.27
29,2016-09-14,1217,2016-07-01,2017-07-01,26679,4976.09
30,2016-07-08,1241,2016-05-01,2017-05-01,10257,2935.74
31,2016-10-30,1245,2016-06-01,2017-06-01,25663,2700.48
32,2017-04-17,1261,2016-07-01,2017-07-01,12577,586.74
33,2016-11-12,1283,2016-01-01,2016-12-31,11212,4407.21
34,2016-07-05,1285,2016-06-01,2017-06-01,3999,2949.84
35,2016-12-26,1292,2016-01-01,2016-12-31,26088,5224.99
36,2017-03-26,1298,2016-07-01,2017-07-01,18011,1073.94
37,2017-03-17,1302,2016-10-01,2017-10-01,6007,3221.21
38,2017-05-08,1309,2016-07-01,2017-07-01,21576,3733.89
39,2017-04-15,1314,2016-07-01,2017-07-01,12993,2429.18
40,2016-11-09,1324,2016-01-01,2016-12-31,25273,4270.42
41,2016-03-09,1329,2016-01-01,2016-12-31,18247,4117.62
42,2016-07-04,1343,2016-01-01,2016-12-31,25242,1883.52
43,2017-06-16,1347,2016-07-01,2017-07-01,3582,4802.31
44,2016-09-04,1368,2016-09-01,2017-09-01,21527,5303.36
45,2017-01-30,1369,2016-07-01,2017-07-01,527,3575.49
46,2016-09-09,1377,2016-01-01,2016-12-31,4722,1453.36
47,2016-12-01,1387,2016-09-01,2017-09-01,25949,1979.58
48,2016-08-25,1389,2016-07-01,2017-07-01,24241,2503.44
49,2016-12-15,1390,2016-04-01,2017-04-01,9309,3117.40
50,2016-11-29,1391,2016-01-01,2016-12-31,7580,1632.80
51,2017-05-11,1432,2016-07-01,2017-07-01,8709,5051.18
52,2016-06-19,1457,2016-01-01,2016-12-31,18917,4874.18
53,2017-04-13,1460,2016-11-01,2017-11-01,3721,1180.27
54,2016-11-11,1469,2016-01-01,2016-12-31,15407,6087.69
55,2016-08-25,1484,2016-07-01,2017-07-01,22903,1490.02
56,2016-08-10,1488,2016-03-01,2017-03-01,9335,1175.26
57,2016-03-22,1489,2016-01-01,2016-12-31,15027,2646.67
58,2017-05-05,1501,2016-12-01,2017-12-01,15008,2337.52
59,2016-11-14,1528,2016-07-01,2017-07-01,8257,2994.71
60,2017-05-29,1545,2016-07-01,2017-07-01,15963,5948.15
61,2016-11-11,1554,2016-01-01,2016-12-31,7915,1822.87
62,2016-11-09,1572,2016-01-01,2016-12-31,4260,2518.19
63,2016-06-19,1587,2016-04-01,2017-04-01,20331,2298.80
64,2016-04-07,1589,2016-02-01,2017-01-31,24334,4809.97
65,2016-09-17,1590,2016-07-01,2017-07-01,18389,1961.97
66,2017-04-29,1595,2016-05-01,2017-05-01,19854,2360.19
67,2017-02-12,1596,2016-07-01,2017-07-01,17309,4017.70
68,2016-07-11,1605,2016-01-01,2016-12-31,619,1719.35
69,2016-08-19,1610,2016-06-01,2017-06-01,469,2162.16
70,2017-02-25,1615,2016-06-01,2017-06-01,13397,2143.63
71,2016-08-06,1622,2016-01-01,2016-12-31,19382,4396.65
72,2017-07-01,1624,2016-09-01,2017-09-01,6591,2207.53
73,2017-02-17,1642,2016-07-01,2017-07-01,2482,3111.67
74,2016-07-21,1645,2016-01-01,2016-12-31,15577,1459.34
75,2017-04-13,1658,2016-07-01,2017-07-01,15847,2562.28
76,2017-03-14,1663,2016-06-01,2017-06-01,5768,4546.78
77,2016-01-27,1677,2016-01-01,2016-12-31,6658,1369.82
78,2016-12-24,1688,2016-10-01,2017-10-01,254,3932.52
79,2016-07-14,1693,2016-07-01,2017-07-01,11992,5096.94
80,2016-09-14,1699,2016-01-01,2016-12-31,14100,3132.13
81,2017-09-27,1704,2016-10-01,2017-10-01,5315,4435.98
82,2017-02-25,1715,2016-03-01,2017-03-01,16618,1729.80
83,2016-07-07,1722,2016-01-01,2016-12-31,25908,1825.53
84,2016-10-27,1724,2016-01-01,2016-12-31,6276,2755.30
85,2016-12-08,1732,2016-01-01,2016-12-31,4358,1125.38
86,2016-07-09,1736,2016-04-01,2017-04-01,9649,2281.69
87,2016-07-06,1738,2016-07-01,2017-07-01,23919,2355.37
88,2016-09-24,1744,2016-01-01,2016-12-31,15217,1820.93
89,2017-05-19,1756,2016-07-01,2017-07-01,2561,1019.50
90,2016-10-03,1760,2016-07-01,2017-07-01,14685,2299.69
91,2016-12-01,1761,2016-01-01,2016-12-31,9222,569.27
92,2016-12-07,1764,2016-05-01,2017-05-01,25760,4541.66
93,2016-11-11,1768,2016-11-01,2017-11-01,8177,2262.21
94,2016-04-24,1785,2016-03-01,2017-03-01,18982,1316.18
95,2016-10-29,1797,2016-09-01,2017-09-01,26722,3620.10
96,2016-03-25,1806,2016-01-01,2016-12-31,18710,1742.90
