company_id,address,country,state,company_type,industry_code,sector_code,locations,year_founded,employees,risk_zone,revenue,cost_of_revenue,legal_involvement,internet_complaints
1,"111 West 33rd Street 12th Floor   New York NY, 10120",USA,NY,4,8993,8,1,,16,,3102.69,3492.35,0,5
2,"222 Central Park Avenue Suite 2100   Virginia Beach VA, 23462",USA,VA,4,6683,6,,2017,166,,18933.46,11445.61,0,1
3,"Toronto-Dominion Centre Suite 4010 77 King Street West PO Box 159 Toronto ON, M5K 1H1",CAN,ON,4,1071,1,4,,53,3,3213.09,1965.01,0,0
4,"1170 Peachtree Street Suite 600   Atlanta GA, 30309",USA,GA,4,9149,9,3,,26,,2667.98,2716.25,0,4
5,"22 St. Clair Avenue East Suite 500   Toronto ON, M4T 2S5",CAN,ON,4,8568,8,4,2013,18,,3388.22,3341.71,0,0
6,"450 Lexington Avenue    New York NY, 10017",USA,NY,4,6973,6,1,2017,,3,,,0,1
7,"116 Huntington Avenue 11th Floor   Boston MA, 02116",USA,MA,4,0456,0,12,2005,,2,,,1,5
8,"845 Berkshire Boulevard Suite 200   Wyomissing PA, 19610",USA,PA,4,5241,5,4,2009,51,,2010.96,1828.96,0,1
9,"2101 Cedar Springs Road Suite 900   Dallas TX, 75201",USA,TX,4,4410,4,3,2008,137,5,2635.77,2117.25,1,2
10,"73 Front Street Fifth Floor   Hamilton , HM 12",BMU,,4,4287,4,2,2015,41,,3548.08,3853.42,1,1
11,"14185 Dallas Parkway Suite 1100   Dallas TX, 75254",USA,TX,4,2364,2,2,2013,21,,5094.26,4870.25,0,3
12,"The Place 1 Sandton Drive Sandton  Johannesburg , 2196",ZAF,,4,8993,8,1,,6,,9898.78,11684.09,0,0
13,"Ritter House 6th Floor Wickhams Cay II PO Box 4041 Road Town , VG1110",VGB,,4,0456,0,3,2008,67,,1976.72,2253.7,1,1
14,"518 Seventeenth Street 17th Floor   Denver CO, 80202",USA,CO,5,8568,8,5,2007,65,,7758.00,6806.6,0,0
