policy_id,inception_date,expiration_date,company_id,exposure_units,premium
1001,2016-01-01,2016-12-31,8229,14,909.76
1002,2016-07-01,2017-07-01,23447,48,974.24
1003,2016-06-01,2017-06-01,56,30,1760.48
1004,2016-01-01,2016-12-31,18667,15,741.61
1005,2016-01-01,2016-12-31,13360,4,477.26
1006,2016-01-01,2016-12-31,15709,7,589.18
1007,2016-10-01,2017-10-01,9862,43,952.24
1008,2016-05-01,2017-05-01,21723,4,477.26
1009,2016-02-01,2017-01-31,10929,30,880.24
1010,2016-07-01,2017-07-01,3486,8,615.89
1011,2016-01-01,2016-12-31,18062,30,880.24
1012,2016-07-01,2017-07-01,21436,7,1178.36
1013,2016-07-01,2017-07-01,27268,22,1022.76
1014,2016-01-01,2016-12-31,5156,30,880.24
1015,2016-01-01,2016-12-31,10463,1,200
1016,2016-01-01,2016-12-31,17216,23,1240.65
1017,2016-09-01,2017-09-01,16042,29,873.46
1018,2016-01-01,2016-12-31,20393,50,982.4
1019,2016-07-01,2017-07-01,19305,10,660.52
1020,2016-01-01,2016-12-31,2306,3,419.72
1021,2016-08-01,2017-08-01,18468,18,778.07
1022,2016-11-01,2017-11-01,23162,21,808.9
1023,2016-07-01,2017-07-01,3263,27,859.17
1024,2016-07-01,2017-07-01,16935,25,843.78
1025,2016-07-01,2017-07-01,7142,37,1152.73
1026,2016-04-01,2017-04-01,11522,30,2200.6
1027,2016-01-01,2016-12-31,11769,30,880.24
1028,2016-07-01,2017-07-01,25304,34,1131.59
1029,2016-07-01,2017-07-01,20660,30,880.24
1030,2016-01-01,2016-12-31,7340,262,1313.67
1031,2016-12-01,2017-12-01,25303,43,952.24
1032,2016-07-01,2017-07-01,15072,4,596.57
1033,2016-10-01,2017-10-01,6038,10,825.65
1034,2016-07-01,2017-07-01,21933,39,932.71
1035,2016-04-01,2017-04-01,24153,4,477.26
1036,2016-01-01,2016-12-31,7994,24,835.61
1037,2016-10-01,2017-10-01,5104,14,727.81
1038,2016-01-01,2016-12-31,26822,30,880.24
1039,2016-01-01,2016-12-31,21785,33,899.3
1040,2016-01-01,2016-12-31,13579,138,1185.45
1041,2016-01-01,2016-12-31,15940,21,808.9
1042,2016-01-01,2016-12-31,26106,12,1393.96
1043,2016-07-01,2017-07-01,4746,6,558.35
1044,2016-01-01,2016-12-31,18661,2,338.63
1045,2016-07-01,2017-07-01,14523,30,880.24
1046,2016-01-01,2016-12-31,24842,182,1240.8
1047,2016-01-01,2016-12-31,24661,1,200
1048,2016-07-01,2017-07-01,2933,6,558.35
1049,2016-07-01,2017-07-01,20443,83,1083.77
1050,2016-03-01,2017-03-01,22904,5,521.89
1051,2016-07-01,2017-07-01,11898,2,338.63
1052,2016-11-01,2017-11-01,8326,15,1112.42
1053,2016-07-01,2017-07-01,11609,6,558.35
1054,2016-01-01,2016-12-31,22161,13,891.24
1055,2016-10-01,2017-10-01,26503,202,1577.07
1056,2016-07-01,2017-07-01,16307,13,1782.47
1057,2016-01-01,2016-12-31,18516,4,477.26
1058,2016-05-01,2017-05-01,18818,24,835.61
1059,2016-10-01,2017-10-01,20838,46,1448.59
1060,2016-07-01,2017-07-01,6601,28,866.44
1061,2016-07-01,2017-07-01,22839,11,679.58
1062,2016-07-01,2017-07-01,18930,10,825.65
1063,2016-06-01,2017-06-01,8727,46,965.73
1064,2016-07-01,2017-07-01,25365,29,873.46
1065,2016-10-01,2017-10-01,18339,22,1227.31
1066,2016-01-01,2016-12-31,24233,22,1227.31
1067,2016-09-01,2017-09-01,828,106,1415.86
1068,2016-05-01,2017-05-01,19406,1,200
1069,2016-07-01,2017-07-01,15607,10,660.52
1070,2016-09-01,2017-09-01,16841,8,615.89
1071,2016-07-01,2017-07-01,20459,30,1100.3
1072,2016-07-01,2017-07-01,7047,22,1227.31
1073,2016-07-01,2017-07-01,24248,130,1173.51
1074,2016-01-01,2016-12-31,2420,54,997.8
1075,2016-01-01,2016-12-31,22867,18,778.07
1076,2016-02-01,2017-01-31,7782,84,1086.16
1077,2016-07-01,2017-07-01,12889,4,477.26
1078,2016-05-01,2017-05-01,11748,72,1055.33
1079,2016-01-01,2016-12-31,4058,2,338.63
1080,2016-07-01,2017-07-01,26760,19,986.11
1081,2016-08-01,2017-08-01,23747,2,338.63
1082,2016-01-01,2016-12-31,17990,14,727.81
1083,2016-01-01,2016-12-31,21679,30,880.24
1084,2016-01-01,2016-12-31,17568,13,712.99
1085,2016-07-01,2017-07-01,21975,176,1234.1
1086,2016-01-01,2016-12-31,25366,2,338.63
1087,2016-01-01,2016-12-31,12927,78,1071.34
1088,2016-01-01,2016-12-31,14457,34,1357.91
1089,2016-01-01,2016-12-31,23349,17,958.3
1090,2016-01-01,2016-12-31,27117,30,880.24
1091,2016-07-01,2017-07-01,15522,35,2277.67
1092,2016-03-01,2017-03-01,9958,10,825.65
1093,2016-06-01,2017-06-01,20851,29,2183.65
1094,2016-01-01,2016-12-31,5016,30,1760.48
1095,2016-01-01,2016-12-31,24080,21,1617.81
1096,2016-01-01,2016-12-31,26899,29,873.46
1097,2016-01-01,2016-12-31,8384,30,880.24
1098,2016-07-01,2017-07-01,6795,30,1100.3
1099,2016-01-01,2016-12-31,4839,1,200
1100,2016-08-01,2017-08-01,16028,9,639.44
1101,2016-01-01,2016-12-31,3791,40,1875.55
1102,2016-07-01,2017-07-01,17007,22,818.21
1103,2016-01-01,2016-12-31,6189,7,589.18
1104,2016-08-01,2017-08-01,18444,29,873.46
1105,2016-03-01,2017-03-01,24120,93,2766.3
1106,2016-01-01,2016-12-31,20411,13,1069.48
1107,2016-01-01,2016-12-31,6875,13,712.99
1108,2016-04-01,2017-04-01,10228,30,1760.48
1109,2016-01-01,2016-12-31,12295,13,1425.98
1110,2016-07-01,2017-07-01,17898,10,660.52
1111,2016-07-01,2017-07-01,11393,130,1173.51
1112,2016-04-01,2017-04-01,2021,101,1123.02
1113,2016-09-01,2017-09-01,3649,208,2535.02
1114,2016-11-01,2017-11-01,18901,34,1131.59
1115,2016-07-01,2017-07-01,1933,18,1556.15
1116,2016-07-01,2017-07-01,13296,60,1018.87
1117,2016-01-01,2016-12-31,5183,245,1625.31
1118,2016-07-01,2017-07-01,8558,29,1091.82
1119,2016-01-01,2016-12-31,13107,42,1184.42
1120,2016-01-01,2016-12-31,12163,39,1165.89
1121,2016-01-01,2016-12-31,8861,17,766.64
1122,2016-11-01,2017-11-01,16045,14,727.81
1123,2016-07-01,2017-07-01,8353,62,1281.78
1124,2016-11-01,2017-11-01,17125,17,1533.29
1125,2016-07-01,2017-07-01,19971,30,880.24
1126,2016-07-01,2017-07-01,11950,53,994.06
1127,2016-09-01,2017-09-01,20095,70,1574.55
1128,2016-06-01,2017-06-01,1043,16,1509.04
1129,2016-11-01,2017-11-01,11916,1,500
1130,2016-04-01,2017-04-01,17980,30,880.24
1131,2016-11-01,2017-11-01,23376,5,521.89
1132,2016-06-01,2017-06-01,5949,156,1512.46
1133,2016-01-01,2016-12-31,25848,1,200
1134,2016-05-01,2017-05-01,13338,31,886.8
1135,2016-07-01,2017-07-01,21002,3,419.72
1136,2016-07-01,2017-07-01,998,10,825.65
1137,2016-10-01,2017-10-01,23140,38,927.52
1138,2016-07-01,2017-07-01,10038,10,1238.47
1139,2016-01-01,2016-12-31,14282,84,1357.7
1140,2016-01-01,2016-12-31,20041,21,808.9
1141,2016-02-01,2017-01-31,1495,154,1509.24
1142,2016-03-01,2017-03-01,8550,1,250
1143,2016-01-01,2016-12-31,8960,58,1518.13
1144,2016-03-01,2017-03-01,8633,26,851.62
1145,2016-03-01,2017-03-01,17102,68,1043.9
1146,2016-01-01,2016-12-31,5474,72,1319.17
1147,2016-07-01,2017-07-01,25309,22,818.21
1148,2016-02-01,2017-01-31,27143,48,974.24
1149,2016-11-01,2017-11-01,15813,38,1159.4
1150,2016-07-01,2017-07-01,14051,15,741.61
1151,2016-07-01,2017-07-01,5520,58,1265.11
1152,2016-07-01,2017-07-01,4100,122,1160.8
1153,2016-08-01,2017-08-01,8405,29,1637.74
1154,2016-12-01,2017-12-01,2384,8,615.89
1155,2016-01-01,2016-12-31,27416,2,338.63
1156,2016-01-01,2016-12-31,16194,30,880.24
1157,2016-01-01,2016-12-31,1237,56,1005.07
1158,2016-05-01,2017-05-01,734,2,338.63
1159,2016-07-01,2017-07-01,21435,36,916.7
1160,2016-07-01,2017-07-01,10830,10,660.52
1161,2016-01-01,2016-12-31,8217,42,947.53
1162,2016-11-01,2017-11-01,16296,2,677.26
1163,2016-08-01,2017-08-01,13380,45,1201.67
1164,2016-07-01,2017-07-01,22619,186,1556.44
1165,2016-07-01,2017-07-01,24860,17,766.64
1166,2016-01-01,2016-12-31,14409,3,524.65
1167,2016-01-01,2016-12-31,26474,27,859.17
1168,2016-05-01,2017-05-01,13727,12,696.98
1169,2016-04-01,2017-04-01,14628,19,788.89
1170,2016-07-01,2017-07-01,22944,25,843.78
1171,2016-12-01,2017-12-01,17170,42,947.53
1172,2016-04-01,2017-04-01,24988,30,880.24
